species,web_local,mode
Formicarius_rufipectus,web=GCA_013399695.1
Fratercula_cirrhata,web=GCA_014363165.1
Fregata_magnificens,web=GCA_013389945.1
Fregetta_grallaria,web=GCA_013399335.1
Fringilla_coelebs_coelebs,web=GCA_015532645.2
Fukomys_damarensis,web=GCA_012274545.1
Fulica_atra,web=GCA_013372525.1
Fulmarus_glacialis,web=GCA_000690835.1
Fundulus_heteroclitus,web=GCA_011125445.2
Furnarius_figulus,web=GCA_013397465.1
Gadiculus_argenteus,web=GCA_900302595.1
Gadus_morhua,web=GCA_902167405.1
Galbula_dea,web=GCA_013399015.1
Galeopterus_variegatus,web=GCA_000696425.1
Gallirallus_okinawae,web=GCA_002003005.1
Gallus_gallus,web=GCA_016699485.1
Gambusia_holbrooki,web=GCA_009663075.1
Gasterosteus_aculeatus,web=GCA_017751045.1
Gavialis_gangeticus,web=GCA_001723915.1
Gavia_stellata,web=GCA_000690875.1
Gekko_japonicus,web=GCA_001447785.1
Geococcyx_californianus,web=GCA_013389885.1
Geospiza_fortis,web=GCA_000277835.1
Geothlypis_trichas,web=GCA_009764595.1
Geotrypetes_seraphini,web=GCA_902459505.2
Gephyroberyx_darwinii,web=GCA_900660455.1
Giraffa_tippelskirchi,web=GCA_013496395.1
Glareola_pratincola,web=GCA_013401295.1
Glaucidium_brasilianum,web=GCA_013399595.1
Glis_glis,web=GCA_004027185.1
Globicephala_melas,web=GCA_006547405.1
Gnathochromis_pfefferi,web=GCA_015052505.1
Gopherus_evgoodei,web=GCA_007399415.1
Gorilla_gorilla_gorilla,web=GCA_008122165.1
Gouania_willdenowi,web=GCA_900634775.2
Gracilinanus_agilis,web=GCA_016433145.1
Grallaria_varia,web=GCA_013396735.1
Grammatotria_lemairii,web=GCA_015107505.1
Grammomys_surdaster,web=GCA_004785775.1
Grantiella_picta,web=GCA_013397955.1
Graphiurus_murinus,web=GCA_004027655.1
Greenwoodochromis_christyi,web=GCA_015107935.1
Grus_nigricollis,web=GCA_004360235.1
Guaruba_guarouba,web=GCA_011800095.1
Guentherus_altivela,web=GCA_900312595.1
Gulo_gulo,web=GCA_900006375.2
Gymnarchus_niloticus,web=GCA_009936485.1
Gymnobelideus_leadbeateri,web=GCA_011680675.1
Gymnodraco_acuticeps,web=GCA_902827175.1
Gymnorhina_tibicen,web=GCA_013399875.1
Halcyon_senegalensis,web=GCA_013397595.1
Haliaeetus_albicilla,web=GCA_000691405.1
Halichoerus_grypus,web=GCA_012393455.1
Haplochromis_burtoni,web=GCA_000239415.1
Haplotaxodon_trifasciatus,web=GCA_015105275.1
Harpagifer_antarcticus,web=GCA_902827135.1
Heliornis_fulica,web=GCA_013399135.1
Helogale_parvula,web=GCA_004023845.1
Helostoma_temminkii,web=GCA_900302695.1
Hemibates_stenosoma,web=GCA_015106175.1
Hemichromis_elongatus,web=GCA_015108515.1
Hemignathus_wilsoni,web=GCA_009690805.1
Hemiprocne_comata,web=GCA_013396855.1
Hemitragus_hylocrius,web=GCA_004026825.1
Hepsetus_odoe,web=GCA_017165825.1
Herpetotheres_cachinnans,web=GCA_013399355.1
Heterocephalus_glaber,web=GCA_000247695.1
Heterochromis_multidens,web=GCA_015108495.1
Heterohyrax_brucei,web=GCA_004026845.1
Heteronetta_atricapilla,web=GCA_011075105.1
Heterotilapia_buettikoferi,web=GCA_015108575.1
Himantopus_himantopus,web=GCA_013400095.1
Hippocampus_whitei,web=GCA_901007805.1
Hippoglossus_hippoglossus,web=GCA_009819705.1
Hippolais_icterina,web=GCA_013400075.1
Hippopotamus_amphibius,web=GCA_004027065.2
Hipposideros_galeritus,web=GCA_004027415.1
Hippotragus_niger_niger,web=GCA_006942125.1
Hirundo_rustica,web=GCA_015227805.2
Holocentrus_rufus,web=GCA_900302615.1
Homo_sapiens,web=GCA_000001405.28
Hoplostethus_atlanticus,web=GCA_900660355.1
Horornis_vulcanius,web=GCA_013401035.1
Hucho_hucho,web=GCA_003317085.1
Hyaena_hyaena,web=GCA_003009895.1
Hydrochoerus_hydrochaeris,web=GCA_004027455.1
Hydrodamalis_gigas,web=GCA_013391785.1
Hydrolagus_affinis,web=GCA_012026655.1
Hydrophis_melanocephalus,web=GCA_004320005.1
Hydropotes_inermis,web=GCA_006459105.1
Hylia_prasina,web=GCA_013397195.1
Hylobates_moloch,web=GCA_009828535.2
Hypocryptadius_cinnamomeus,web=GCA_013400635.1
Hypophthalmichthys_nobilis,web=GCA_004193235.1
Hypoplectrus_puella,web=GCA_900610375.1
Hystrix_cristata,web=GCA_004026905.1
Ibidorhyncha_struthersii,web=GCA_013398815.1
Ictalurus_punctatus,web=GCA_001660625.2
Ictidomys_tridecemlineatus,web=GCA_016881025.1
Ifrita_kowaldi,web=GCA_013398055.1
Illadopsis_cleaveri,web=GCA_013399915.1
